,x,y,theta
0,-89.88157111,-75.11766784,1.4262312430000001
1,-90.7809399,-75.80771901,1.452289512
2,-90.34324581,-75.34946102,1.3495664619999999
3,-90.50153646,-75.42243827,1.315170462
4,-90.84148391,-74.70988425,1.3970905480000002
5,-90.89132285,-74.70988425,1.263938094
6,-89.10788883,-74.70988425,1.441155552
7,-89.48536056,-74.70988425,1.485960056
8,-90.75576726,-75.60723195,1.392118626
9,-90.90038779,-75.71594115,1.384924265
10,-91.26786816,-75.9500316,1.248940494
11,-90.79884409,-75.72294523,1.429442264
12,-90.28403459,-75.13196762,1.234199834
13,-89.10788883,-74.70988425,1.3970905480000002
14,-89.48536056,-74.70988425,1.263938094
15,-90.75576726,-74.70988425,1.441155552
16,-90.90038779,-74.70988425,1.485960056
17,-89.88157111,-75.80771901,1.392118626
18,-90.7809399,-75.34946102,1.452289512
19,-90.34324581,-75.42243827,1.3495664619999999
20,-89.67401288,-74.92012258,1.4339796
21,-90.66606441,-75.72909219,1.42941631
22,-88.92349728,-74.37311633,1.25819119
23,-90.88749128,-75.89390285,1.45597133
24,-89.3905127,-74.71701659,1.29460443
25,-88.85202084,-74.3334445,1.43729535
26,-89.51665389,-74.83044669,1.45936889
27,-90.07358526,-75.32286103,1.34768273
28,-91.09129759999999,-76.05875113,1.46301374
29,-90.85560162,-75.73196170000001,1.39532899
30,-91.11167825,-76.07523596,1.46371798
31,-90.34434072,-75.36384063,1.4333884
32,-90.95661234,-75.92405057,1.37938426
33,-89.51811479999999,-74.73511629999999,1.4860269
34,-89.51811479999999,-74.73511629999999,1.4860269
35,-89.84850478,-74.94475229999999,1.43383893
36,-89.55643592,-74.76037253,1.48018993
37,-91.85999168,-76.27597673,1.32239023
38,-91.71338341,-75.99684951,1.6134157
39,-91.11147967,-75.8479163,1.45464581
40,-89.80788001938717,-75.05889851157073,1.41980974364858
41,-91.19157219411458,-76.08131098318125,1.286988873809472
42,-89.48536056099968,-74.709884250987,1.4859600556479748
43,-89.48536056099968,-74.709884250987,1.4859600556479748
44,-91.24503177426449,-76.06915485406782,1.4637417104672552
45,-89.3512657046367,-74.71367239007387,1.4859852005841068
46,-91.19157219411458,-76.08131098318125,1.286988873809472
47,-91.04190506300488,-75.98145652409585,1.4315788135712648
48,-89.3512657046367,-74.71367239007387,1.4859852005841068
49,-90.77200102103151,-75.80048882276823,1.4519806339986783
50,-90.73369622749388,-75.58257066714795,1.2607846272181331
51,-90.28403458674472,-75.1319676194987,1.2341998343786729
52,-89.48536056099968,-74.709884250987,1.4859600556479748
53,-89.97234898785645,-74.95350299992674,1.2130165385909797
54,-91.58565013020151,-75.8994606282397,1.6249861298081845
55,-89.48536056099968,-74.709884250987,1.4859600556479748
56,-90.77961825287777,-75.72217769172795,1.2561170377547783
57,-91.14611610640985,-75.88110354341491,1.2196485787209164
58,-91.3248676396644,-76.07518710516437,1.2866109455722141
59,-90.26740605479007,-75.41149373167673,1.4179589139004405
