,x,y,theta
0,-108.2824274,-66.57456035,1.508734354
1,-108.2824274,-66.57456035,1.508734354
2,-109.8766642,-67.57442049,1.7718427780000001
3,-110.52902809999999,-67.9272886,1.7861142330000002
4,-110.52902809999999,-67.9272886,1.7861142330000002
5,-109.22673789999999,-67.04700344,1.692694846
6,-110.77510330000001,-68.13203949,1.568401601
7,-109.229568,-67.05370523,1.574381421
8,-110.2867936,-67.67724882,1.558811826
9,-111.32044499999999,-68.25823762,1.692363504
10,-109.22673789999999,-67.04700344,1.692694846
11,-110.77510330000001,-68.13203949,1.568401601
12,-109.229568,-67.05370523,1.574381421
13,-110.2867936,-67.67724882,1.558811826
14,-111.32044499999999,-68.25823762,1.692363504
15,-110.52902809999999,-67.9272886,1.7861142330000002
16,-110.52902809999999,-67.9272886,1.7861142330000002
17,-108.2824274,-66.57456035,1.508734354
18,-108.2824274,-66.57456035,1.508734354
19,-109.8766642,-67.57442049,1.7718427780000001
20,-109.88365973,-67.37958881,1.73343902
21,-110.02727718,-67.45932161,1.7593851000000003
22,-108.71728821,-66.96728533,1.49441178
23,-109.8694459,-67.72284002,1.56636246
24,-110.92592219,-68.17546185,1.70496177
25,-111.20900727,-68.34619214,1.72615645
26,-110.74962238,-68.17386794,1.51589235
27,-108.58824984,-66.90057191,1.49281174
28,-110.31446317,-67.91159323,1.71724441
29,-109.43830305,-67.48472501,1.47092563
30,-108.80499548,-67.01764538,1.4838243
31,-108.88510303,-67.09820479,1.52821501
32,-110.34195008,-67.95788731,1.5053047
33,-108.81480124,-67.01824179,1.47181769
34,-108.16003554,-66.79875121,1.5849029
35,-108.89040593,-66.96728533,1.46960298
36,-108.21235025,-66.50677123,1.70418621
37,-110.7443513,-68.17123271,1.51632369
38,-110.01341361,-67.81331311,1.66596622
39,-109.99299304,-67.80256608,1.76510918
40,-109.4123444168642,-67.25683665023527,1.8474863886949453
41,-109.58997370265035,-67.27989557729589,1.6940400888757958
42,-108.85881106156454,-67.16033435778671,1.54997955277782
43,-108.7044270375272,-66.9513559790544,1.8234302231032704
44,-109.6867347538903,-67.40375220723111,1.7901945596306652
45,-110.41088733067272,-67.87807182716078,1.5518786995903688
46,-109.68291686207249,-67.50705647765099,1.5054723934015102
47,-109.05946261954168,-67.00087948134512,1.4696719267473728
48,-110.66566277672469,-67.90876323179154,1.8141609090815916
49,-108.8959994604494,-67.05666552297278,1.470689492635896
50,-108.1511430028862,-66.6746216965738,1.4894305823726788
51,-109.9688487323609,-67.69579713398039,1.5127914713723702
52,-109.66063313920245,-67.60083916715566,1.7047400605024623
53,-110.55000736192152,-68.0918018654297,1.5476999115948298
54,-109.69737096490873,-67.68069067254011,1.7530641838464427
55,-109.12361219855032,-67.11154623663737,1.5275835091489531
56,-109.4900511216475,-67.3002107797793,1.7070291099461623
57,-109.70969379295488,-67.55794889218761,1.7900806704016916
58,-111.48675921900892,-68.45579181360519,1.5301049162234812
59,-108.87232825337112,-67.04725039255078,1.617876083903752
